UR	SR
ɔ1.l.t.ɚ0.n.eɪ2.t.ɚ0	ɔ.l.t.ɚ0.n.eɪ2.ɾ.0
m.ɑ0.ɹ.t.i1.t.ʌ0	m.ɑ0.ɹ.t.i1.ɾ.0
k.i0.ɑ0.v.ɛ1.t.ʌ0	k.i0.ɑ0.v.ɛ1.ɾ.0
w.ɪ1.t.ʌ0.l.d	w.ɪ1.ɾ.ʌ0.l.d
m.oʊ1.t.ɚ0.b.aɪ2.k.s	m.oʊ1.ɾ.ɚ0.b.aɪ2.k.s
p.ɪ1.t.i0	p.ɪ1.ɾ.0
p.ɹ.i0.n.tʃ.i0.p.ɑ1.t.oʊ0	p.ɹ.i0.n.tʃ.i0.p.ɑ1.ɾ.0
ʌ0.p.ɹ.i1.ʃ.i0.eɪ2.t.ɪ0.d	ʌ.p.ɹ.i1.ʃ.i0.eɪ2.ɾ.ɪ0.d
s.ɛ1.t.ʌ0	s.ɛ1.ɾ.0
s.l.eɪ1.t.ɪ0.ŋ	s.l.eɪ1.ɾ.ɪ0.ŋ
d.æ1.t.ʌ0.m.ɛ2.t.ɹ.ɪ0.k.s	d.æ1.ɾ.ʌ0.m.ɛ2.t.ɹ.ɪ0.k.s
f.ʊ2.t.ʌ0.n.d.m.aʊ1.θ	f.ʊ2.ɾ.ʌ0.n.d.m.aʊ1.θ
v.ɛ0.n.i1.t.ʌ0	v.ɛ0.n.i1.ɾ.0
f.ɔ0.ɹ.tʃ.u0.n.ɑ1.t.oʊ0	f.ɔ0.ɹ.tʃ.u0.n.ɑ1.ɾ.0
k.ʌ0.m.ɪ1.t.i0.m.ʌ0.n	k.ʌ0.m.ɪ1.ɾ.i0.m.ʌ0.n
ɛ1.l.ʌ0.v.eɪ2.t.ɚ0	ɛ.l.ʌ0.v.eɪ2.ɾ.0
s.t.ɹ.eɪ1.t.ʌ0.w.eɪ2.z	s.t.ɹ.eɪ1.ɾ.ʌ0.w.eɪ2.z
h.eɪ1.t.ɪ0.ŋ	h.eɪ1.ɾ.ɪ0.ŋ
g.ɹ.æ1.v.ɪ0.t.eɪ2.t.ɪ0.ŋ	g.ɹ.æ1.v.ɪ0.t.eɪ2.ɾ.ɪ0.ŋ
h.ɛ2.t.ɚ0.oʊ0.s.ɛ2.k.ʃ.u0.æ1.l.ɪ0.t.i0	h.ɛ2.ɾ.ɚ0.oʊ0.s.ɛ2.k.ʃ.u0.æ1.l.ɪ0.t.0
s.i1.t.ɪ0.ŋ.z	s.i1.ɾ.ɪ0.ŋ.z
t.ɹ.ɛ1.n.d.s.ɛ2.t.ɚ0	t.ɹ.ɛ1.n.d.s.ɛ2.ɾ.0
t.aɪ1.t.ʌ0.l.z	t.aɪ1.ɾ.ʌ0.l.z
ɹ.oʊ1.t.oʊ0.t.ɪ2.l	ɹ.oʊ1.ɾ.oʊ0.t.ɪ2.l
ɹ.ɑ1.t.ɚ0.t	ɹ.ɑ1.ɾ.ɚ0.t
k.ʌ0.n.tʃ.i1.t.ʌ0	k.ʌ0.n.tʃ.i1.ɾ.0
s.ɪ1.n.d.ɪ0.k.eɪ2.t.ɪ0.d	s.ɪ1.n.d.ɪ0.k.eɪ2.ɾ.ɪ0.d
s.ɛ2.l.f.ɹ.ɛ1.p.l.ɪ0.k.eɪ2.t.ɪ0.ŋ	s.ɛ2.l.f.ɹ.ɛ1.p.l.ɪ0.k.eɪ2.ɾ.ɪ0.ŋ
l.ɪ1.t.ɚ0.ʌ0.l	l.ɪ1.ɾ.ɚ0.ʌ0.l
m.oʊ1.t.ɚ0.b.oʊ2.t	m.oʊ1.ɾ.ɚ0.b.oʊ2.t
ɹ.i0.m.ɪ1.t.ɪ0.d	ɹ.i0.m.ɪ1.ɾ.ɪ0.d
oʊ0.n.ɔ0.ɹ.ɑ1.t.oʊ0	o.n.ɔ0.ɹ.ɑ1.ɾ.0
n.i2.oʊ0.p.l.eɪ1.t.ʌ0.n.ʌ0.s.t	n.i2.oʊ0.p.l.eɪ1.ɾ.ʌ0.n.ʌ0.s.t
ɪ0.m.ɛ1.t.ɪ0.k	ɪ.m.ɛ1.ɾ.ɪ0.k
k.ɔ1.t.ɚ0.aɪ0.z.ɪ0.z	k.ɔ1.ɾ.ɚ0.aɪ0.z.ɪ0.z
d.ɪ0.s.p.j.u1.t.ɪ0.ŋ	d.ɪ0.s.p.j.u1.ɾ.ɪ0.ŋ
l.aɪ1.t.i0	l.aɪ1.ɾ.0
p.l.i2.j.ʌ0.ɹ.aɪ1.t.ʌ0.s	p.l.i2.j.ʌ0.ɹ.aɪ1.ɾ.ʌ0.s
f.oʊ1.t.oʊ0.v.oʊ0.l.t.eɪ1.ɪ0.k.s	f.oʊ1.ɾ.oʊ0.v.oʊ0.l.t.eɪ1.ɪ0.k.s
ɪ2.n.t.ɹ.ʌ0.j.u1.t.ɚ0.ɪ0.n	ɪ.n.t.ɹ.ʌ0.j.u1.ɾ.ɚ0.ɪ0.n
m.ɑ2.t.s.u0.ʃ.i1.t.ʌ0.z	m.ɑ2.t.s.u0.ʃ.i1.ɾ.ʌ0.z
v.æ1.t.ɚ0	v.æ1.ɾ.0
m.ɪ0.s.t.ɹ.ɛ1.t.ʌ0	m.ɪ0.s.t.ɹ.ɛ1.ɾ.0
aʊ1.t.ɚ0	a.ɾ.0
k.ʌ0.n.s.ɑ1.l.ʌ0.d.eɪ2.t.ɪ0.ŋ	k.ʌ0.n.s.ɑ1.l.ʌ0.d.eɪ2.ɾ.ɪ0.ŋ
p.ɹ.i2.b.aɪ2.ɔ1.t.ɪ0.k	p.ɹ.i2.b.aɪ2.ɔ1.ɾ.ɪ0.k
